hostname,ip
SW-Access-WEST-03707,10.25.234.204
SW-Access-WEST-04145,172.31.248.245
RT-Core-HQ-00765,10.124.46.90
RT-Core-HKT-07809,192.168.213.67
SW-Dist-SOUTH-04452,192.168.245.219
SW-Access-NORTH-03191,192.168.195.177
FW-Perim-HKT-00254,10.26.158.206
AP-WLAN-CNX-06896,10.250.117.190
SW-Agg-DC1-06256,192.168.183.146
SW-Core-HKT-05373,172.23.75.244
RT-Edge-NORTH-02182,10.183.142.179
SW-Access-BKK-08613,172.29.196.87
RT-Core-WEST-00287,10.51.151.108
FW-Perim-CNX-06610,172.25.240.216
AP-WLAN-BR01-07481,10.148.132.62
SW-Agg-BR03-00514,172.19.121.9
SW-Agg-HKT-07646,10.107.89.60
SW-Core-WEST-03293,192.168.82.246
SW-Dist-DC2-09845,192.168.91.93
SW-Access-NORTH-03214,172.25.179.205
SW-Dist-DC1-09576,192.168.21.162
RT-Edge-DC1-01631,10.18.7.204
RT-Core-BR02-09121,10.161.239.95
SW-Access-DC2-04737,192.168.86.12
AP-WLAN-BR02-02890,172.23.33.8
RT-Core-HKT-00331,10.161.132.25
SW-Agg-BR02-00796,10.70.11.247
AP-WLAN-WEST-01333,10.163.69.105
RT-Core-CNX-09377,192.168.126.225
FW-Perim-CNX-06189,10.181.152.207
SW-Dist-BR01-05090,10.249.126.179
SW-Dist-SOUTH-03508,10.219.188.235
SW-Core-SOUTH-05184,10.142.214.92
SW-Core-NORTH-05408,192.168.55.166
SW-Agg-DC2-09213,172.22.30.158
RT-Core-BKK-00424,172.20.171.61
SW-Access-BR03-01102,172.31.223.227
RT-Core-NORTH-04864,10.1.63.214
SW-Core-DC2-09980,172.19.25.224
FW-Perim-WEST-05151,192.168.45.198
SW-Dist-NORTH-01232,10.222.186.122
SW-Access-BR04-03502,10.37.109.216
AP-WLAN-NORTH-00615,172.19.5.5
SW-Agg-CNX-08360,192.168.137.3
RT-Core-BR01-04492,192.168.62.175
SW-Dist-BKK-07342,192.168.202.163
AP-WLAN-BR03-03064,172.16.109.51
RT-Core-BR04-06005,10.196.210.168
RT-Edge-DC1-00240,172.26.140.246
SW-Dist-HQ-04529,172.19.170.9
SW-Dist-BKK-09027,10.26.115.239
SW-Access-HKT-01688,192.168.232.47
AP-WLAN-NORTH-08770,192.168.154.130
RT-Edge-BR03-00694,192.168.186.12
SW-Core-HKT-02120,192.168.95.88
SW-Agg-BR02-00177,10.245.135.193
RT-Edge-HKT-07276,172.22.242.58
AP-WLAN-SOUTH-02672,10.132.169.134
SW-Access-BR01-09172,172.23.15.40
RT-Edge-BR03-04153,192.168.0.92
SW-Agg-HKT-07021,192.168.25.104
SW-Dist-DC2-06074,192.168.88.35
RT-Core-EAST-07303,192.168.120.104
SW-Access-HQ-02016,10.44.75.188
AP-WLAN-SOUTH-04888,192.168.51.123
SW-Access-BKK-09899,192.168.27.217
SW-Access-BR04-08868,172.23.90.83
AP-WLAN-EAST-07081,10.41.114.160
FW-Perim-BR03-06494,172.28.95.198
SW-Access-BR04-09485,192.168.156.11
RT-Edge-CNX-02856,10.190.158.156
SW-Access-BR03-03723,10.151.60.182
AP-WLAN-HQ-08043,172.19.168.59
AP-WLAN-DC1-07981,172.21.16.236
SW-Access-DC1-02774,10.3.149.42
FW-Perim-NORTH-08312,172.29.46.167
SW-Agg-DC2-02733,10.74.42.254
SW-Core-BR02-03787,172.29.14.231
FW-Perim-EAST-01124,172.26.253.134
SW-Access-HKT-01721,192.168.177.226
SW-Core-CNX-03183,10.125.211.60
RT-Edge-BKK-03364,172.31.211.4
FW-Perim-EAST-08401,10.152.140.112
SW-Access-BR01-06377,10.28.13.185
AP-WLAN-BKK-00504,10.1.205.43
SW-Core-HQ-02923,172.18.216.47
AP-WLAN-BKK-08435,172.19.163.11
SW-Dist-WEST-04649,10.151.117.18
FW-Perim-DC1-02227,172.24.222.179
SW-Agg-DC2-01526,10.95.119.105
SW-Dist-SOUTH-03019,172.19.28.105
SW-Dist-DC2-09520,172.18.39.253
AP-WLAN-BR01-06399,10.238.85.203
RT-Edge-BKK-09185,10.134.125.226
AP-WLAN-SOUTH-06665,192.168.216.200
FW-Perim-BKK-09495,172.23.68.111
RT-Edge-DC1-05873,192.168.216.190
FW-Perim-BR01-00088,10.232.147.111
SW-Core-HQ-08966,192.168.201.77
SW-Core-CNX-01350,10.119.252.239
RT-Core-BR02-00609,172.31.101.26
SW-Core-BKK-03283,192.168.133.225
SW-Agg-EAST-05491,10.128.185.121
AP-WLAN-HKT-05506,192.168.128.196
SW-Core-HKT-07300,10.20.25.169
RT-Edge-DC2-01100,10.129.140.241
AP-WLAN-EAST-09700,10.138.149.175
SW-Agg-BKK-03920,192.168.44.46
RT-Core-BR03-08952,10.51.231.162
FW-Perim-DC2-03838,10.245.251.23
SW-Dist-CNX-00614,10.143.99.5
SW-Access-WEST-07901,172.19.209.149
SW-Dist-SOUTH-09891,192.168.223.181
SW-Core-HKT-09014,192.168.147.30
SW-Access-WEST-04871,172.23.105.166
SW-Agg-DC2-00321,172.29.215.149
RT-Edge-DC1-04319,10.171.198.144
SW-Access-HQ-08634,10.163.80.181
AP-WLAN-BR04-03743,172.18.9.248
RT-Core-DC1-08694,172.24.4.165
RT-Core-EAST-05269,10.95.124.107
SW-Access-NORTH-03282,192.168.248.179
RT-Core-HQ-02208,172.29.147.11
SW-Agg-BR01-01211,10.114.46.79
SW-Agg-BKK-06339,10.4.111.182
SW-Access-WEST-05691,172.21.217.87
FW-Perim-WEST-05445,10.154.155.219
RT-Edge-NORTH-08551,10.164.23.241
SW-Access-BR02-07441,10.106.95.69
SW-Core-BR04-01253,172.25.228.82
AP-WLAN-BR01-02372,10.4.243.54
SW-Access-BR04-08072,10.57.236.217
FW-Perim-CNX-02780,192.168.3.86
SW-Dist-NORTH-08724,192.168.242.12
SW-Access-BKK-08664,10.58.220.112
RT-Core-CNX-06211,172.17.206.249
SW-Core-DC2-04639,192.168.236.238
AP-WLAN-CNX-07327,10.61.212.127
RT-Core-SOUTH-09836,10.187.228.169
SW-Dist-DC2-06359,172.17.115.139
AP-WLAN-BR04-07672,192.168.243.100
RT-Core-HQ-03297,172.25.133.151
SW-Core-BR03-04296,192.168.104.97
SW-Core-BR01-05402,192.168.79.129
AP-WLAN-BR02-08456,10.119.75.145
FW-Perim-NORTH-09160,192.168.67.37
SW-Core-BR02-05739,192.168.55.87
RT-Core-HKT-02335,172.17.22.109
SW-Access-DC2-05430,192.168.124.72
SW-Access-DC1-03244,192.168.138.110
SW-Core-BR01-08730,10.104.243.9
SW-Core-WEST-03616,10.64.236.162
SW-Core-HKT-02747,10.157.186.115
RT-Edge-SOUTH-06853,10.67.217.142
SW-Core-EAST-09967,192.168.31.123
SW-Access-HKT-08565,192.168.78.35
RT-Core-BR02-04478,172.27.70.109
SW-Dist-DC1-01996,192.168.49.43
SW-Agg-WEST-07890,10.148.44.98
SW-Dist-BR03-01910,192.168.48.118
SW-Core-BR01-06785,192.168.105.222
FW-Perim-BR02-07039,192.168.219.94
SW-Agg-BR01-03132,192.168.50.225
AP-WLAN-BR01-09222,172.24.91.51
SW-Agg-DC2-03114,10.208.32.163
RT-Core-CNX-08091,172.16.36.95
FW-Perim-CNX-07767,172.25.64.58
RT-Edge-DC1-04058,192.168.214.124
RT-Core-BR03-06159,172.27.14.25
SW-Core-BR04-00394,192.168.148.136
AP-WLAN-BR04-04350,10.46.126.142
SW-Agg-HQ-01904,172.19.17.32
RT-Edge-HKT-00666,172.28.170.248
SW-Agg-BR02-02257,10.111.200.247
SW-Core-DC1-07085,10.101.81.126
RT-Core-DC2-03622,192.168.139.18
SW-Access-HKT-05511,10.160.66.41
SW-Dist-HKT-00771,192.168.97.94
SW-Agg-BKK-09930,10.156.80.75
FW-Perim-WEST-09751,172.25.1.24
SW-Access-CNX-08665,10.41.218.163
RT-Core-DC1-01148,192.168.97.241
SW-Core-BR04-05188,172.24.147.137
SW-Access-EAST-06014,192.168.168.124
FW-Perim-BKK-06132,192.168.183.104
SW-Core-WEST-00020,192.168.251.40
FW-Perim-CNX-06486,192.168.240.76
SW-Core-HQ-09603,10.114.237.186
SW-Core-BR04-01717,172.22.195.199
RT-Edge-BR04-06746,192.168.178.25
SW-Dist-BR04-08644,172.30.216.201
RT-Core-BKK-01355,172.24.115.228
AP-WLAN-HQ-01236,172.18.38.2
SW-Dist-NORTH-04499,172.17.111.24
RT-Edge-SOUTH-04103,10.189.47.120
SW-Core-BR04-08439,172.19.125.92
AP-WLAN-BKK-01627,172.17.197.126
SW-Agg-BR03-00840,172.22.202.191
AP-WLAN-EAST-09119,10.200.170.156
SW-Agg-EAST-04229,192.168.12.210
FW-Perim-BR01-03819,10.140.176.231
SW-Dist-HKT-01298,10.58.221.159
RT-Core-BR04-08752,172.20.223.17
FW-Perim-NORTH-09832,172.26.72.135
SW-Access-BR02-02001,192.168.26.44
SW-Access-WEST-05162,192.168.243.194
FW-Perim-BR01-06477,172.19.91.122
SW-Dist-WEST-02834,10.153.66.31
RT-Edge-DC2-08307,192.168.139.139
SW-Agg-SOUTH-06136,192.168.198.213
SW-Agg-DC2-02222,192.168.145.116
SW-Core-SOUTH-00040,192.168.199.107
SW-Access-CNX-05965,172.20.184.59
SW-Core-BR01-02429,192.168.215.70
RT-Edge-CNX-09165,192.168.31.23
FW-Perim-NORTH-00843,172.25.125.210
SW-Access-HKT-06401,192.168.229.84
RT-Edge-BR02-06999,192.168.213.74
SW-Agg-HKT-04631,10.155.195.91
SW-Dist-EAST-06529,10.198.27.43
RT-Edge-EAST-02413,172.27.60.220
RT-Core-EAST-02187,10.19.27.206
SW-Dist-EAST-06108,192.168.141.254
SW-Core-BR04-00165,10.248.128.239
SW-Dist-SOUTH-08459,192.168.174.176
SW-Core-WEST-05079,192.168.7.105
AP-WLAN-SOUTH-09152,10.1.237.219
SW-Agg-SOUTH-04570,192.168.64.109
SW-Access-HQ-07435,10.102.59.59
SW-Dist-BR03-06356,172.21.44.207
RT-Core-BR02-03793,192.168.201.2
SW-Agg-WEST-06062,172.26.158.119
FW-Perim-BR01-05776,192.168.254.158
SW-Access-DC1-04799,192.168.15.39
SW-Agg-BR04-00987,10.194.245.164
AP-WLAN-HQ-00448,10.213.6.181
RT-Edge-BR02-02761,10.204.143.95
AP-WLAN-HQ-06629,10.223.238.30
FW-Perim-BKK-01122,192.168.188.124
SW-Dist-NORTH-01960,192.168.24.159
SW-Access-DC2-03292,172.28.189.238
SW-Access-EAST-09742,10.14.175.207
FW-Perim-BR04-04183,10.145.136.231
FW-Perim-BR04-00496,10.55.4.183
SW-Core-DC1-04021,192.168.59.248
SW-Core-WEST-03338,10.44.127.62
RT-Core-HQ-09501,172.29.153.99
RT-Edge-WEST-01921,172.21.10.60
RT-Core-HQ-09834,172.30.201.143
SW-Agg-HQ-02691,10.205.71.154
SW-Dist-BR03-00434,192.168.241.47
FW-Perim-BR04-06086,172.23.136.17
SW-Access-BR03-07893,10.86.227.16
SW-Agg-HKT-09622,10.180.6.68
RT-Edge-NORTH-09086,192.168.252.55
RT-Edge-BKK-04210,192.168.114.187
SW-Dist-SOUTH-06467,192.168.212.157
SW-Access-HQ-09863,192.168.231.29
FW-Perim-BR02-00559,192.168.77.9
SW-Dist-NORTH-05391,192.168.29.7
RT-Core-EAST-03675,10.254.154.177
AP-WLAN-EAST-02643,192.168.93.193
RT-Core-BKK-00651,192.168.206.176
SW-Access-DC2-06082,172.22.253.129
RT-Core-BR02-06597,192.168.230.65
RT-Edge-WEST-08514,192.168.153.179
SW-Agg-SOUTH-03141,192.168.213.221
FW-Perim-WEST-02226,10.55.117.65
RT-Core-SOUTH-03511,10.18.35.25
FW-Perim-EAST-04958,10.52.67.185
SW-Dist-DC1-02857,10.219.254.135
AP-WLAN-EAST-00900,192.168.120.73
FW-Perim-HKT-07498,172.25.188.53
SW-Core-BR01-04715,192.168.75.108
SW-Access-BR02-00143,10.40.203.88
SW-Dist-BKK-00653,172.28.190.70
RT-Edge-DC2-00955,192.168.139.200
SW-Core-BR02-03218,172.22.179.115
RT-Core-BKK-02311,172.18.122.36
AP-WLAN-WEST-07976,172.24.232.24
SW-Agg-SOUTH-00691,192.168.160.223
SW-Agg-BKK-01330,10.183.9.165
SW-Dist-EAST-09271,192.168.133.138
AP-WLAN-BKK-03958,172.29.136.65
SW-Core-WEST-02382,192.168.1.114
AP-WLAN-EAST-03216,192.168.152.58
AP-WLAN-BR04-06316,172.20.39.123
SW-Agg-CNX-09799,10.86.207.20
SW-Core-BR04-01736,172.18.144.70
SW-Access-EAST-07667,192.168.153.1
SW-Dist-BR03-09368,192.168.67.63
SW-Core-EAST-09714,192.168.7.202
FW-Perim-HQ-09684,192.168.29.249
FW-Perim-DC2-07741,172.29.208.89
AP-WLAN-DC1-08318,10.64.213.214
FW-Perim-EAST-07463,172.29.28.30
SW-Core-HKT-00897,172.29.31.115
AP-WLAN-BKK-01384,172.30.194.15
SW-Dist-BR04-02750,172.28.224.44
FW-Perim-BR01-05780,10.50.137.54
SW-Dist-BKK-00255,10.58.186.162
SW-Agg-DC2-04213,192.168.81.120
SW-Dist-SOUTH-00114,10.246.97.104
SW-Access-NORTH-07866,192.168.246.3
SW-Access-WEST-05972,10.179.167.178
SW-Core-BR03-06551,192.168.99.231
RT-Edge-HKT-05660,172.18.246.237
AP-WLAN-DC2-03893,10.51.0.21
RT-Core-CNX-04968,10.174.182.49
SW-Core-BR04-08631,192.168.159.218
SW-Access-BR04-05427,10.29.184.105
SW-Access-BR01-00191,172.20.113.200
SW-Dist-WEST-07775,10.39.139.8
RT-Core-BR02-00085,192.168.167.202
RT-Edge-DC1-04648,192.168.144.145
RT-Core-BR01-06039,172.25.75.71
FW-Perim-BR04-00903,192.168.3.5
SW-Core-BR02-09108,172.27.136.90
SW-Core-BR03-05865,10.142.117.115
SW-Core-CNX-07101,172.22.198.182
SW-Agg-BR03-00732,172.20.234.164
RT-Core-WEST-02808,10.208.253.167
SW-Core-BR03-07565,10.154.27.203
SW-Agg-DC1-07137,172.18.114.173
RT-Edge-WEST-01327,172.29.181.182
RT-Core-HQ-01852,10.241.110.72
SW-Agg-DC1-03479,192.168.19.168
RT-Core-WEST-07367,10.23.7.105
RT-Edge-DC2-00968,172.31.144.115
FW-Perim-BR02-08008,192.168.97.20
SW-Agg-BR01-05470,172.29.135.40
SW-Access-NORTH-04466,10.116.186.161
RT-Core-BR04-09466,192.168.173.15
SW-Dist-BR01-01710,10.3.152.148
SW-Core-BR04-05185,10.71.91.233
RT-Core-HQ-01024,172.20.208.5
FW-Perim-HQ-08340,10.135.159.200
SW-Dist-WEST-04531,192.168.141.8
FW-Perim-BR01-09831,172.29.98.171
RT-Core-HQ-08344,172.24.93.82
RT-Edge-BR04-04083,172.20.68.232
AP-WLAN-BKK-05152,10.104.92.201
RT-Core-HKT-01762,172.29.245.84
SW-Agg-DC1-09034,172.27.19.50
SW-Agg-BR04-02217,172.25.15.127
SW-Dist-BR03-09676,172.30.236.19
SW-Agg-SOUTH-00355,192.168.68.224
FW-Perim-BR03-07093,10.114.76.149
RT-Edge-DC2-03350,10.236.202.39
SW-Agg-EAST-08522,10.135.152.91
FW-Perim-BR01-06541,192.168.145.106
RT-Edge-BR03-02830,192.168.203.115
SW-Dist-DC1-02951,172.20.120.80
SW-Dist-DC2-06983,172.25.200.236
SW-Access-CNX-04223,192.168.193.245
SW-Core-WEST-05654,10.166.50.254
SW-Core-BR02-05981,172.28.142.231
SW-Access-DC1-02108,192.168.157.59
SW-Access-BR02-09602,192.168.238.48
AP-WLAN-BR03-00704,10.243.170.198
FW-Perim-HKT-06289,172.16.129.89
SW-Core-BR03-01939,172.28.145.142
SW-Access-WEST-01711,10.39.109.56
SW-Agg-CNX-09044,192.168.111.222
SW-Dist-WEST-02699,192.168.147.65
SW-Core-EAST-00942,172.18.11.120
RT-Core-BKK-03718,10.190.168.86
SW-Agg-BR02-04041,10.193.108.246
AP-WLAN-BR01-05191,10.239.247.237
AP-WLAN-SOUTH-01493,172.19.58.170
SW-Agg-DC1-03591,172.25.10.184
SW-Agg-BR03-00859,192.168.83.198
FW-Perim-HKT-08511,10.96.89.184
SW-Agg-BR03-08732,10.52.143.200
SW-Core-CNX-00883,10.20.193.213
FW-Perim-EAST-01314,192.168.28.153
SW-Access-EAST-03710,172.20.152.170
SW-Dist-CNX-09003,172.17.67.63
SW-Dist-BR02-07421,192.168.185.82
FW-Perim-CNX-08832,10.69.22.200
SW-Access-CNX-00918,192.168.227.78
SW-Agg-BR03-01510,10.70.123.142
AP-WLAN-BKK-01029,10.33.116.111
SW-Agg-HQ-01466,10.175.216.12
AP-WLAN-BR03-01665,172.21.190.181
FW-Perim-BR04-04706,10.122.126.61
SW-Core-BR04-04810,10.40.61.178
SW-Agg-EAST-03298,192.168.144.230
SW-Access-BR01-09757,192.168.189.225
RT-Edge-HKT-05464,192.168.37.98
RT-Edge-HQ-08985,192.168.50.227
FW-Perim-NORTH-04690,172.16.28.27
FW-Perim-HQ-08427,192.168.40.213
RT-Edge-HKT-06092,10.44.19.50
SW-Core-HQ-04077,172.16.207.217
SW-Agg-BR01-09292,172.24.228.10
RT-Edge-HKT-06788,172.20.144.33
SW-Agg-WEST-00010,192.168.188.69
RT-Edge-HQ-00622,192.168.228.87
RT-Core-WEST-06028,192.168.218.36
SW-Core-SOUTH-02837,192.168.34.37
FW-Perim-BR04-01025,10.25.100.39
AP-WLAN-SOUTH-09157,10.224.119.46
SW-Agg-DC2-07744,192.168.118.80
FW-Perim-BR02-02900,172.24.74.27
RT-Core-BKK-03619,192.168.59.90
AP-WLAN-CNX-01072,10.193.206.91
SW-Agg-EAST-02388,172.19.91.90
FW-Perim-SOUTH-05449,192.168.30.190
RT-Edge-NORTH-04895,172.19.240.34
SW-Core-WEST-08294,172.20.102.190
RT-Core-WEST-06106,192.168.56.113
SW-Dist-BR01-07701,192.168.75.78
SW-Agg-BR03-07796,10.205.107.117
SW-Access-BR03-09349,172.30.116.156
FW-Perim-HKT-00844,192.168.168.192
RT-Edge-DC2-08608,10.40.227.67
SW-Agg-NORTH-00379,10.122.184.178
FW-Perim-SOUTH-02395,10.37.67.170
SW-Agg-DC1-08061,172.30.217.130
SW-Core-CNX-05282,192.168.143.160
RT-Core-BR02-06964,172.20.127.116
RT-Edge-BR02-07560,10.182.26.127
SW-Core-BR04-07318,172.17.249.187
SW-Agg-BR04-00047,10.92.65.142
SW-Access-BR01-06334,192.168.101.48
AP-WLAN-HQ-01896,10.202.169.203
RT-Core-CNX-05348,192.168.218.161
RT-Core-HQ-01444,172.16.41.82
SW-Access-NORTH-07006,172.17.175.171
SW-Dist-BKK-03855,10.67.210.193
SW-Access-BR02-05138,10.99.59.105
RT-Edge-HKT-03565,172.27.233.115
SW-Dist-CNX-09102,10.45.153.63
AP-WLAN-EAST-06978,10.242.238.4
AP-WLAN-BKK-07347,192.168.107.48
RT-Edge-BR02-06385,172.21.175.24
FW-Perim-BR01-04782,10.233.250.219
SW-Access-BR04-09055,10.75.94.179
SW-Agg-CNX-00957,10.88.162.165
RT-Core-DC1-02545,172.28.28.38
RT-Edge-WEST-01807,192.168.35.206
SW-Core-BR01-09551,192.168.62.131
SW-Agg-BR04-03357,192.168.228.35
FW-Perim-WEST-05619,172.22.247.119
AP-WLAN-WEST-00572,192.168.241.36
SW-Core-DC1-01270,172.17.153.112
RT-Core-EAST-01480,10.121.52.53
FW-Perim-NORTH-01432,172.20.143.77
FW-Perim-WEST-05685,172.31.212.13
RT-Core-HQ-05848,172.20.116.22
SW-Access-BR01-04513,172.21.2.88
FW-Perim-EAST-02558,10.205.93.156
SW-Dist-BR03-05503,192.168.91.165
SW-Core-HKT-00474,192.168.29.123
RT-Core-BR01-05453,10.195.103.200
SW-Agg-BR02-04774,192.168.26.210
SW-Core-DC2-08697,172.16.186.88
RT-Core-HQ-02235,10.35.30.56
FW-Perim-BKK-00341,172.17.204.22
SW-Core-CNX-05631,172.25.69.102
SW-Dist-CNX-06414,172.28.193.215
FW-Perim-CNX-09509,172.24.108.116
AP-WLAN-CNX-00583,10.31.129.2
SW-Dist-NORTH-04676,172.19.55.214
FW-Perim-SOUTH-00934,10.88.170.139
SW-Core-EAST-07034,172.25.184.82
AP-WLAN-NORTH-09207,10.200.133.136
SW-Access-BR02-06388,172.22.222.130
SW-Dist-DC2-06818,192.168.204.166
SW-Access-DC1-02920,172.21.36.199
AP-WLAN-BR01-03680,172.26.219.236
RT-Core-BR01-01685,10.86.114.91
RT-Edge-EAST-03776,192.168.76.227
SW-Dist-SOUTH-07521,10.61.133.121
SW-Agg-HQ-00505,10.253.156.72
SW-Core-DC1-06719,10.140.232.216
FW-Perim-EAST-02436,172.26.176.177
AP-WLAN-NORTH-00561,172.20.13.32
SW-Agg-BKK-01756,192.168.75.232
SW-Core-BR02-08737,10.48.129.54
SW-Dist-HQ-04720,172.25.20.47
RT-Core-BKK-05030,172.16.139.212
RT-Core-DC2-09904,172.29.160.66
RT-Core-BR03-06604,192.168.226.100
RT-Core-NORTH-07764,10.195.180.109
SW-Access-BR03-08099,10.160.93.164
RT-Edge-EAST-07301,172.26.45.75
AP-WLAN-BR01-03052,192.168.44.113
SW-Agg-EAST-00217,172.18.255.46
AP-WLAN-DC1-09945,192.168.20.114
SW-Core-DC2-01661,172.30.254.150
RT-Core-CNX-01263,192.168.98.52
SW-Core-HKT-07478,172.17.236.193
SW-Dist-BR04-05166,192.168.123.223
RT-Core-NORTH-04092,172.24.135.48
SW-Access-EAST-00487,192.168.19.230
AP-WLAN-BR04-07353,172.22.141.184
AP-WLAN-EAST-02633,172.25.62.239
RT-Core-DC2-03584,172.16.34.102
SW-Access-SOUTH-02921,10.78.11.27
SW-Agg-SOUTH-01581,192.168.86.241
AP-WLAN-DC1-00877,192.168.105.145
SW-Core-BKK-07305,10.169.100.37
SW-Core-BR01-04327,172.17.226.57
FW-Perim-BR04-01818,192.168.228.215
AP-WLAN-CNX-07419,192.168.100.150
FW-Perim-WEST-06675,10.222.187.30
SW-Access-DC1-01170,10.131.62.129
FW-Perim-WEST-04866,172.27.157.138
SW-Core-BKK-08197,10.198.251.242
SW-Dist-DC1-09008,192.168.238.243
SW-Dist-DC2-03386,172.23.163.86
FW-Perim-BR04-00847,192.168.172.205
RT-Core-NORTH-07641,172.28.47.75
SW-Agg-HQ-06995,192.168.212.95
SW-Agg-DC2-02562,192.168.106.66
SW-Access-CNX-07975,10.209.221.105
RT-Edge-BR04-09439,172.21.225.27
RT-Edge-WEST-03470,10.220.64.101
RT-Core-EAST-09060,172.30.253.243
RT-Core-HQ-08339,172.29.195.181
RT-Core-BR02-06819,192.168.191.63
AP-WLAN-SOUTH-04062,192.168.168.18
SW-Core-BR01-08236,172.16.241.110
SW-Access-BR03-08286,10.77.71.126
AP-WLAN-HKT-07612,10.193.125.46
RT-Core-DC2-01854,192.168.102.60
SW-Dist-HQ-02823,192.168.25.3
AP-WLAN-BR01-00300,192.168.1.221
SW-Agg-BR03-04481,10.180.218.47
AP-WLAN-BKK-06851,10.224.1.238
SW-Core-WEST-06533,192.168.75.219
FW-Perim-BKK-02520,10.134.14.160
RT-Edge-DC1-00630,192.168.161.179
RT-Edge-HQ-04251,192.168.58.229
SW-Agg-NORTH-06299,192.168.177.148
RT-Edge-EAST-04904,172.30.83.47
SW-Agg-HKT-02535,10.201.201.200
FW-Perim-HQ-06255,10.127.30.50
AP-WLAN-BR01-07903,172.28.85.77
RT-Edge-WEST-03477,172.20.222.191
AP-WLAN-EAST-03252,192.168.3.60
RT-Core-EAST-07223,172.25.157.132
SW-Core-DC2-04781,10.71.80.139
RT-Core-BKK-06380,10.200.232.158
RT-Edge-BR02-01377,192.168.96.34
RT-Edge-BR02-02990,172.31.185.182
RT-Core-SOUTH-09528,10.218.57.208
SW-Dist-DC1-06955,172.26.193.198
SW-Access-DC2-03580,192.168.122.61
AP-WLAN-HQ-05337,172.17.110.128
SW-Agg-CNX-01556,10.57.101.28
SW-Dist-DC2-07851,192.168.253.176
SW-Access-SOUTH-08426,172.21.208.3
FW-Perim-WEST-02657,192.168.162.133
SW-Core-HKT-01133,172.24.170.85
SW-Agg-CNX-05414,192.168.250.226
AP-WLAN-BR04-03458,192.168.174.24
FW-Perim-EAST-03852,172.16.143.112
SW-Access-HKT-00519,10.64.210.216
AP-WLAN-WEST-07048,192.168.116.213
SW-Agg-SOUTH-00284,192.168.253.14
SW-Core-EAST-02362,192.168.5.224
RT-Edge-BR01-06382,172.30.82.165
RT-Core-SOUTH-02915,192.168.149.126
RT-Core-SOUTH-02766,172.23.102.13
RT-Core-DC1-06550,192.168.8.161
AP-WLAN-DC1-00722,10.244.234.107
SW-Dist-EAST-09999,192.168.18.233
SW-Dist-HQ-01417,192.168.154.91
RT-Edge-DC1-01750,172.27.11.226
RT-Edge-BR01-09404,10.107.239.181
FW-Perim-CNX-01083,172.27.94.68
SW-Dist-CNX-05836,172.26.10.104
RT-Core-BR02-03608,192.168.20.173
RT-Edge-DC2-07096,172.24.123.35
AP-WLAN-DC1-09002,192.168.224.231
FW-Perim-NORTH-06418,192.168.241.176
SW-Core-HKT-05177,10.127.89.6
SW-Agg-BR01-01408,172.21.160.207
RT-Edge-NORTH-02198,10.20.10.144
SW-Core-WEST-05872,10.56.26.53
SW-Core-HQ-06353,172.23.172.88
FW-Perim-BKK-01722,192.168.233.14
SW-Core-CNX-08074,10.114.54.15
RT-Edge-BR02-04978,172.19.146.43
RT-Core-BR04-08548,10.215.200.139
RT-Core-BKK-07234,10.195.131.167
SW-Core-BR01-08433,172.25.187.94
SW-Agg-NORTH-00256,172.24.111.227
SW-Core-HQ-05541,192.168.94.6
AP-WLAN-HQ-00244,172.26.110.140
SW-Dist-WEST-02973,172.22.231.73
RT-Edge-BKK-06134,172.23.176.34
RT-Edge-HKT-09578,10.151.230.159
FW-Perim-CNX-06259,192.168.161.113
SW-Access-WEST-09781,10.10.5.33
SW-Access-NORTH-06561,192.168.44.239
SW-Access-CNX-03171,172.28.98.169
RT-Core-HKT-09969,10.28.168.209
AP-WLAN-HKT-08453,172.24.164.113
AP-WLAN-EAST-04778,172.17.47.116
SW-Agg-NORTH-06592,10.228.111.108
SW-Access-BR02-05933,192.168.147.120
SW-Core-WEST-04738,10.230.178.86
RT-Edge-HQ-04610,192.168.27.95
SW-Dist-BR04-00750,172.30.32.157
SW-Agg-EAST-08557,192.168.167.239
RT-Core-SOUTH-08204,172.17.128.174
AP-WLAN-BR03-08677,172.16.141.8
SW-Core-BKK-00318,172.16.149.170
SW-Core-EAST-01077,192.168.180.125
SW-Agg-EAST-03104,192.168.237.14
AP-WLAN-BR02-06777,192.168.63.10
RT-Core-BKK-04926,10.81.162.1
RT-Edge-WEST-04829,10.71.175.52
SW-Core-HQ-01684,192.168.219.213
SW-Dist-BKK-09581,192.168.85.24
SW-Access-BR01-06862,172.27.105.248
FW-Perim-BKK-02586,10.56.244.123
SW-Core-WEST-00928,10.188.239.237
SW-Dist-BKK-05680,192.168.255.72
FW-Perim-DC1-02134,192.168.241.91
RT-Edge-BR04-07541,172.29.246.244
SW-Access-BR02-08536,10.200.19.37
AP-WLAN-BR03-08962,172.28.138.169
FW-Perim-WEST-06765,192.168.94.19
RT-Edge-HQ-00051,10.66.163.147
RT-Edge-DC2-03461,172.24.129.36
SW-Agg-WEST-02662,10.156.237.22
SW-Dist-BKK-06103,172.19.200.214
SW-Dist-CNX-09639,10.107.193.62
FW-Perim-NORTH-06085,172.24.64.235
RT-Core-DC1-07747,172.29.129.124
FW-Perim-NORTH-03722,10.218.244.190
SW-Access-SOUTH-07940,172.21.182.69
SW-Access-HKT-06127,192.168.108.174
